Gene::801	GiG	Gene::7428
Gene::5987	GiG	Gene::9412
Gene::5747	GiG	Gene::79738
Gene::3725	GiG	Gene::10514
Gene::10014	GiG	Gene::55844
Gene::2099	GiG	Gene::6206
Gene::4087	GiG	Gene::10589
Gene::9223	GiG	Gene::150084
Gene::960	GiG	Gene::57147
Gene::5108	GiG	Gene::7534
Gene::2033	GiG	Gene::8115
Gene::356	GiG	Gene::7341
Gene::996	GiG	Gene::4690
Gene::891	GiG	Gene::1017
Gene::467	GiG	Gene::8841
Gene::6921	GiG	Gene::162699
Gene::48	GiG	Gene::6445
Gene::5588	GiG	Gene::8517
Gene::8350	GiG	Gene::54623
Gene::51751	GiG	Gene::81488
Gene::3459	GiG	Gene::5781
Gene::5789	GiG	Gene::8500
Gene::2975	GiG	Gene::6191
Gene::23582	GiG	Gene::147687
Gene::2494	GiG	Gene::8202
Gene::5094	GiG	Gene::6187
Gene::1869	GiG	Gene::7277
Gene::5433	GiG	Gene::8065
Gene::4627	GiG	Gene::9775
Gene::30812	GiG	Gene::58494
Gene::23013	GiG	Gene::53615
Gene::10921	GiG	Gene::11171
Gene::805	GiG	Gene::23118
Gene::468	GiG	Gene::1054
Gene::3611	GiG	Gene::3688
Gene::1999	GiG	Gene::8346
Gene::9470	GiG	Gene::220082
Gene::983	GiG	Gene::8367
Gene::7128	GiG	Gene::10318
Gene::6176	GiG	Gene::9349
Gene::229	GiG	Gene::25828
Gene::5971	GiG	Gene::54951
Gene::2063	GiG	Gene::8648
Gene::25	GiG	Gene::9826
Gene::1759	GiG	Gene::10787
Gene::3164	GiG	Gene::9612
Gene::5564	GiG	Gene::8566
Gene::4686	GiG	Gene::6198
Gene::1174	GiG	Gene::93436
Gene::351	GiG	Gene::397
Gene::1915	GiG	Gene::23178
Gene::9643	GiG	Gene::51043
Gene::6638	GiG	Gene::8576
Gene::4602	GiG	Gene::9125
Gene::6323	GiG	Gene::8554
Gene::468	GiG	Gene::81631
Gene::3172	GiG	Gene::8761
Gene::914	GiG	Gene::965
Gene::3326	GiG	Gene::5292
Gene::4093	GiG	Gene::4299
Gene::3312	GiG	Gene::5695
Gene::9967	GiG	Gene::22976
Gene::1973	GiG	Gene::10014
Gene::351	GiG	Gene::121599
Gene::5684	GiG	Gene::63027
Gene::2932	GiG	Gene::55968
Gene::3661	GiG	Gene::114609
Gene::1302	GiG	Gene::3208
Gene::9657	GiG	Gene::11165
Gene::4222	GiG	Gene::54870
Gene::4089	GiG	Gene::51701
Gene::838	GiG	Gene::51535
Gene::8508	GiG	Gene::79735
Gene::7704	GiG	Gene::23528
Gene::3725	GiG	Gene::25977
Gene::1647	GiG	Gene::8366
Gene::7884	GiG	Gene::9101
Gene::60	GiG	Gene::5217
Gene::9616	GiG	Gene::339390
Gene::5885	GiG	Gene::55602
Gene::6217	GiG	Gene::23450
Gene::9782	GiG	Gene::51191
Gene::4163	GiG	Gene::8517
Gene::4776	GiG	Gene::5599
Gene::9768	GiG	Gene::10961
Gene::3320	GiG	Gene::6000
Gene::998	GiG	Gene::9826
Gene::7417	GiG	Gene::8668
Gene::3209	GiG	Gene::4211
Gene::1415	GiG	Gene::4284
Gene::7428	GiG	Gene::10728
Gene::5359	GiG	Gene::11135
Gene::1777	GiG	Gene::8607
Gene::26271	GiG	Gene::64682
Gene::2731	GiG	Gene::7316
Gene::6929	GiG	Gene::80230
Gene::3556	GiG	Gene::8809
Gene::5859	GiG	Gene::10014
Gene::28973	GiG	Gene::55832
Gene::1271	GiG	Gene::23529
Gene::1499	GiG	Gene::9821
Gene::6607	GiG	Gene::51150
Gene::5501	GiG	Gene::221908
Gene::4792	GiG	Gene::9908
Gene::4682	GiG	Gene::7316
Gene::1277	GiG	Gene::7564
Gene::1174	GiG	Gene::6566
Gene::5170	GiG	Gene::5588
Gene::857	GiG	Gene::1755
Gene::595	GiG	Gene::5111
Gene::191	GiG	Gene::10014
Gene::54165	GiG	Gene::192666
Gene::5245	GiG	Gene::7431
Gene::999	GiG	Gene::8508
Gene::4794	GiG	Gene::9043
Gene::7322	GiG	Gene::26046
Gene::9101	GiG	Gene::10971
Gene::988	GiG	Gene::10286
Gene::3561	GiG	Gene::6772
Gene::5479	GiG	Gene::54984
Gene::382	GiG	Gene::9520
Gene::5365	GiG	Gene::260425
Gene::6208	GiG	Gene::8451
Gene::4193	GiG	Gene::8553
Gene::7184	GiG	Gene::10576
Gene::5111	GiG	Gene::10289
Gene::5936	GiG	Gene::8087
Gene::23387	GiG	Gene::54507
Gene::10978	GiG	Gene::51692
Gene::5335	GiG	Gene::7006
Gene::6872	GiG	Gene::6881
Gene::8260	GiG	Gene::79612
Gene::351	GiG	Gene::10134
Gene::23421	GiG	Gene::55183
Gene::51643	GiG	Gene::54918
Gene::896	GiG	Gene::2115
Gene::5879	GiG	Gene::6189
Gene::7189	GiG	Gene::26146
Gene::2065	GiG	Gene::3055
Gene::775	GiG	Gene::5092
Gene::348	GiG	Gene::51295
Gene::51619	GiG	Gene::57484
Gene::1030	GiG	Gene::10094
Gene::22907	GiG	Gene::388697
Gene::1017	GiG	Gene::2664
Gene::4172	GiG	Gene::8452
Gene::4646	GiG	Gene::10755
Gene::4005	GiG	Gene::51562
Gene::2962	GiG	Gene::4609
Gene::154	GiG	Gene::5578
